db,occurance,occurance_percent,occurance+python,occurance+py_to_occurance_percent
['oracle'],1722,0.1722,317,0.1840882694541231
['mysql'],810,0.081,273,0.337037037037037
"['microsoft', 'sql', 'server']",1083,0.1083,62,0.057248384118190214
['postgresql'],391,0.0391,116,0.2966751918158568
['mongodb'],369,0.0369,151,0.4092140921409214
['redis'],122,0.0122,43,0.3524590163934426
['elasticsearch'],181,0.0181,81,0.44751381215469616
"['ibm', 'db2']",52,0.0052,12,0.23076923076923078
['sqlite'],36,0.0036,7,0.19444444444444445
"['microsoft', 'access']",301,0.0301,33,0.10963455149501661
